,Tb_on_pix_b6,Tb_on_pix_b7,V,R_arcsec,Tb_on_pix_avg_b6_bs,Tb_on_pix_avg_b7_bs,max_pix_ridx_b6_bs,Tb_max_pix_bs_b6,Tb_max_pix_avg_bs_b6,max_pix_ridx_b7_bs,Tb_max_pix_bs_b7,Tb_max_pix_avg_bs_b7
9,1.2007238,0.6742422,-6.304816286025105,-0.18000000005721,1.1842332,1.1842332,148,1.2590028,1.2298633,41,2.1924903,0.62818813
10,1.166625,1.8717285,-6.096462546203492,-0.18000000005721,1.1559739,1.1559739,148,1.1840166,1.1753209,146,1.8972279,1.8151467
11,1.0607978,1.840557,-5.88810880638188,-0.24000000007628,1.0591686,1.0591686,144,1.0912601,1.0750873,149,2.5654528,0.96386206
12,1.465554,2.6231058,-5.679755066560268,-0.24000000007628,1.4426389,1.4426389,146,1.465554,1.4601724,149,2.9538674,2.4910433
13,1.5874419,1.9424607,-5.471401326738656,-0.24000000007628,1.5702162,1.5702162,147,1.6095372,1.5984895,148,2.1152477,2.0035057
14,2.0676515,2.644403,-5.263047586917043,-0.24000000007628,2.0405931,2.0405931,146,2.0676515,2.0312414,2,4.1153026,2.6063905
15,2.512408,3.5437706,-5.0546938470954315,-0.30000000009535,2.4829884,2.4829884,146,2.5209935,2.5167007,0,4.492425,3.50485
16,1.9167714,2.9996085,-4.84634010727382,-0.30000000009535,1.8871485,1.8871485,145,1.9167714,1.8825066,145,2.9996085,2.9692314
17,2.8796535,3.6083457,-4.637986367452207,-0.36000000011442,2.8433087,2.8433087,146,3.070073,3.054412,0,4.2627296,3.5424924
18,2.519545,4.3240743,-4.429632627630594,-0.36000000011442,2.492768,2.492768,145,2.5817673,2.5506563,145,4.460363,4.3922186
19,4.410169,4.508895,-4.2212788878089835,-0.42000000013349,4.3551273,4.3551273,144,4.552468,4.4813185,144,4.6035666,4.5562305
20,1.7749398,5.9224906,-4.012925147987371,-0.48000000015256,1.7578535,1.7578535,143,1.8380086,1.8064742,144,6.2050424,6.049281
21,4.645145,5.516109,-3.8045714081657587,-0.48000000015256,4.5889115,4.5889115,143,4.6954303,4.6702876,144,5.713269,5.6053386
22,5.602397,7.5312285,-3.5962176683441465,-0.54000000017163,5.538269,5.538269,142,5.6656995,5.6340485,141,7.5312285,7.505335
23,6.4390106,9.200476,-3.387863928522534,-0.66000000020977,6.3740735,6.3740735,141,6.9365506,6.863865,141,9.557027,9.531509
24,7.402534,8.899956,-3.179510188700922,-0.72000000022884,7.3380437,7.3380437,140,7.666569,7.654415,140,9.400128,9.325844
25,7.8451295,8.824249,-2.9711564488793103,-0.84000000026698,7.774145,7.774145,138,8.433001,8.340389,139,9.754047,9.482121
26,8.601304,10.122602,-2.7628027090576976,-0.96000000030512,8.549049,8.549049,137,9.283872,9.2548685,138,11.464887,11.238712
27,9.804118,10.337672,-2.554448969236086,-1.14000000036233,9.732813,9.732813,133,10.335534,10.254253,136,11.6342125,11.023014
28,6.8970494,9.973037,-2.3460952294144732,-1.32000000041954,6.8801537,6.8801537,135,8.53136,8.519553,134,10.966075,10.944342
29,5.198127,6.5378637,-2.1377414895928615,-1.62000000051489,5.1816936,5.1816936,139,7.4628606,7.456558,137,10.079293,9.960066
30,6.1180663,6.507045,-1.9293877497712488,-1.98000000062931,6.088909,6.088909,140,7.954506,7.940006,138,10.038284,9.840373
31,6.5189114,10.164658,-1.721034009949638,-2.46000000078187,6.5068665,6.5068665,109,6.5189114,6.5054626,108,10.259209,10.211933
32,7.3490415,10.421458,-1.5126802701280244,-3.18000000101071,7.348355,7.348355,110,9.123548,9.088507,108,12.60764,12.436795
33,2.6327522,3.2661827,-1.3043265303064127,-4.32000000137304,2.6460211,2.6460211,107,7.756949,7.7271795,119,9.576787,8.227135
34,-0.6117099,-0.5719081,-1.0959727904848,-6.0600000019260705,-0.5981605,-0.5981605,118,8.8559475,8.848656,123,11.067382,9.930447
