,Unnamed: 0,r_rlkep_rs,Tb7_rlkep_rs,Tb6_rlkep_rs,Texe_rs_rlkep,Texe_err_rs_rlkep,Ncol_rs_rlkep,Ncol_err_rs_rlkep,r_rlkep_rs_fix_r,Tb7_rlkep_rs_fix_r,Tb6_rlkep_rs_fix_r,Texe_rs_rlkep_fix_r,Texe_err_rs_rlkep_fix_r,Ncol_rs_rlkep_fix_r,Ncol_err_rs_rlkep_fix_r
0,0,6.482784143340548,0.7395341992378235,-0.2720896601676941,35.52477075119779,"[20.594200095357515, 20.419411040182382]",13571160977924.969,"[13474866120323.248, 1764634935357006.0]",0.3,1.264164686203003,0.30976179242134094,35.678312350831504,"[20.762769901679707, 20.150601105522107]",54723174525007.16,"[54568124727153.16, 9520724496450902.0]"
1,1,4.701777699622273,2.458653211593628,5.5356764793396,9.653996774540463,"[0.7142101417956397, 0.8353873625105557]",3.0260744228119183e+19,"[2.9594852530435166e+19, 1.5141495572589112e+21]",0.6,5.15242862701416,3.761193037033081,29.438899653621167,"[19.12723760678432, 21.50252935278066]",1.68582236895085e+17,"[3.506796215543077e+16, 9.875528754139232e+16]"
2,2,3.56531081657842,2.968524932861328,6.313581466674805,10.37620449459473,"[0.7449754303859937, 0.815633937430297]",3.814613305113722e+19,"[3.717205595800848e+19, 1.6377877859559583e+21]",0.9,7.197987079620361,6.028732776641846,18.83611371140534,"[7.490651218881654, 17.99286414565178]",2.8965602830359155e+17,"[6.237229544395104e+16, 8.77154262276638e+19]"
3,3,2.7961114212064224,6.155440330505371,7.095818519592285,12.195697087886042,"[0.8439553317530635, 1.2912805482225647]",2.2735803993166578e+19,"[2.2253593642721948e+19, 1.4466464741495962e+21]",1.2,4.743891716003418,4.856661796569824,10.278279004831788,"[1.0213712711796248, 10.211305497966503]",1.9648141458653993e+18,"[1.7880316630067973e+18, 6.832047219540387e+20]"
4,4,2.251426906753576,9.148208618164062,9.9177885055542,15.396128603387275,"[1.0757839117982666, 1.5577543405957428]",2.9441989292515287e+19,"[2.8755649768750166e+19, 1.5346508358351237e+21]",1.5,4.060488224029541,1.85993230342865,41.477489633499175,"[19.854097949334314, 16.23898726799745]",9.80866846161861e+16,"[2.841191742051612e+16, 3.844749822684114e+16]"
5,5,1.8516799456475987,8.192200660705566,9.711621284484863,14.766809113553114,"[0.9715076872787645, 1.1140587362551706]",4.806766215231767e+19,"[4.687527204339041e+19, 1.700740768353984e+21]",1.8,5.9000244140625,5.34829568862915,12.646601437682348,"[2.4684302632928823, 16.083243028829145]",2.9691642242947386e+17,"[1.0221152998520314e+17, 2.3120473656476084e+20]"
6,6,1.549662879015849,6.223423004150391,5.850845813751221,11.962683485796742,"[1.35686331848248, 13.131262208935482]",7.292192374726318e+17,"[5.09072939745259e+17, 4.195347681087423e+20]",2.1,7.069929599761963,8.020543098449707,13.264805456229068,"[0.9163167821419318, 1.3076355283382828]",2.4593694512758907e+19,"[2.4024151414755426e+19, 1.4633616593357688e+21]"
7,7,1.3159326805420797,4.455914497375488,2.6125359535217285,37.39521214496166,"[20.655323826659913, 18.464196150092754]",1.2749426450975104e+17,"[3.2489644290210464e+16, 5.109060646669709e+16]",2.4,3.7418909072875977,4.303657531738281,9.348352389431138,"[0.8875893808933544, 7.188023927586826]",3.827839204801233e+18,"[3.6729408274451297e+18, 7.77480439423031e+20]"
8,8,1.1313534307644226,6.005262851715088,5.603544235229492,11.79450826311761,"[1.4330884622064293, 14.443815147076883]",4.9084025628488256e+17,"[2.842288592291871e+17, 3.9939280316265156e+20]",2.7,4.040947914123535,4.851840019226074,9.823002886977271,"[0.8338297823946768, 3.661493710880789]",9.296479054309657e+18,"[9.100019707519503e+18, 1.0736745374549044e+21]"
9,9,0.9830511949137904,8.051466941833496,7.837209701538086,13.729653772536622,"[1.1064950491860106, 6.499082091424466]",5.266124313750946e+18,"[4.929106737222359e+18, 9.31303224851617e+20]",3.0,4.159093379974365,5.717209815979004,10.435865482214595,"[0.7879997504614895, 1.1450066047041005]",1.911659533924557e+19,"[1.871821605958353e+19, 1.3172560868853036e+21]"
10,10,0.8621067972485509,8.11836051940918,7.902590274810791,13.818870435180507,"[1.145808126740265, 6.045036456843064]",5.896175610327925e+18,"[5.554514743761211e+18, 9.365021058301493e+20]",3.3,1.0939719676971436,2.9388787746429443,7.238425905901671,"[0.7834472083028015, 2.541968366580832]",6.302806100692656e+18,"[6.192650301227311e+18, 8.761613559637886e+20]"
11,11,0.7621827401702165,8.939657211303711,7.126463890075684,24.033353481457965,"[10.877942089073079, 17.568531883115135]",3.4080685229788774e+17,"[5.686343084669072e+16, 1.2345518454136211e+19]",3.6,-0.6089738011360168,0.775682270526886,33.79594255859071,"[20.587289293289324, 21.49916284581201]",41059960231876.65,"[40917398997939.23, 7650225395775346.0]"
12,12,0.6786757558227889,9.781770706176758,6.951459884643555,34.70094287849022,"[13.26897339200282, 17.215405772685486]",3.3855571803515e+17,"[5.07200881112495e+16, 7.127755614130259e+16]",3.9,2.409212112426758,3.5585010051727295,8.212989855881755,"[0.8062990591831944, 4.6995747873327005]",5.504718711329549e+18,"[5.374884817890821e+18, 8.67566007820769e+20]"
13,13,0.6081769977438414,7.424912929534912,5.952394008636475,23.516157880589567,"[11.832488517528756, 19.753386412235535]",2.7525352980246448e+17,"[5.130968473344134e+16, 8.802125107343499e+18]",4.2,1.5901812314987183,2.3429524898529053,7.429161527205345,"[1.2539520374667088, 21.055835453300986]",2.0766875990976624e+17,"[1.4259496330328107e+17, 2.8189746222481474e+20]"
14,14,0.5481185559223191,7.654911994934082,6.566985607147217,17.114248175594987,"[5.284002782705143, 15.691876385229413]",3.2775562112382426e+17,"[7.572425506729898e+16, 1.3979101407255321e+20]",4.5,0.853256106376648,1.5767089128494263,19.233213045651866,"[13.416251342287936, 29.291057518169687]",5.131336341534666e+16,"[3.3012476034225452e+16, 4.977302231727452e+18]"
15,15,0.4965362618708838,6.031854152679443,4.34929895401001,31.569556022763955,"[15.415612690075896, 20.061843108262636]",1.9603065015470333e+17,"[3.838670864931718e+16, 6.15450021892648e+16]",4.8,1.7072668075561523,1.251552939414978,31.101621089798464,"[22.50623430427175, 22.798894529411413]",4.3121052920221384e+16,"[3.4395911188780656e+16, 4.065521274840911e+16]"
16,16,0.4519070306284543,4.158067226409912,3.696362018585205,15.386673538447273,"[7.0865672196968035, 22.87820016666085]",1.730801143868252e+17,"[4.974653611784834e+16, 1.0728039892222658e+20]",5.1,3.3356456756591797,5.096831321716309,9.652378195053455,"[0.749842932878213, 1.0294690169272762]",2.3144221559115125e+19,"[2.2745379420914287e+19, 1.474866099466654e+21]"
17,17,0.4130351248105927,4.869253158569336,4.843357086181641,10.441726832072035,"[1.1167567767170823, 11.95460625143947]",1.190150843887824e+18,"[1.0145788652539256e+18, 5.3467226174039484e+20]",5.4,2.1607511043548584,3.9418563842773438,8.374167513367482,"[0.7433294491780149, 1.1901374285627977]",1.4743113604087577e+19,"[1.4526084178309583e+19, 1.372204214159235e+21]"
18,18,0.3789712196042823,4.726588249206543,2.0282490253448486,43.51014314229224,"[18.50239750920191, 14.973389683263491]",1.1261706294691638e+17,"[3.0462461257311136e+16, 3.807408541855795e+16]",5.7,0.5400348901748657,2.4324915409088135,6.728166223905933,"[0.8337087860933599, 5.845426528227878]",2.44767118554085e+18,"[2.377364043109965e+18, 6.295992604171322e+20]"
19,19,0.3489538868031796,2.2579262256622314,1.954185009002685,22.4848198178709,"[16.110259035370724, 27.35515247469143]",8.221781691060418e+16,"[2.802093013449607e+16, 8.344525422507056e+18]",,,,,,,
20,20,0.3223666716150114,1.505494236946106,1.542932629585266,23.878764205155093,"[17.80750121179082, 26.607307344318045]",5.5751357147404216e+16,"[2.8018907260687028e+16, 1.1409997324358885e+18]",,,,,,,
21,21,0.2987061882997451,0.9639499187469482,1.0808775424957275,32.24359610320117,"[21.284560666157216, 21.90637495173442]",1.3790942190551358e+16,"[1.378842698494685e+16, 3.612741983082051e+16]",,,,,,,
22,22,0.2775581165795363,0.3171288669109344,0.6588490605354309,35.15437948864971,"[21.10270059676486, 20.744006906037008]",80058313965447.94,"[79873151781817.64, 1.2329981207666358e+16]",,,,,,,
23,23,0.258578939383651,1.4107061624526978,0.3552037477493286,35.81012280796982,"[20.599702870338113, 20.146891780885483]",99636996501083.77,"[99429433571668.3, 1.3201014734022108e+16]",,,,,,,
24,24,0.2414819044916343,1.2869107723236084,0.4738218188285827,35.06178768245606,"[20.534210760910838, 20.35702712260189]",98510824891879.05,"[98313488641363.69, 1.5555780487240952e+16]",,,,,,,
